model,release_date,hashrate,power,efficiency,daily_revenue,daily_profit,margin_percent,cost,break_even,cost_per_hash,expected_cost,excost_per_hash,price_diff_usd,price_diff_pct
Antminer U3S23Hyd,25-May,1160,11020,9.5,$57.42 ,$54.78 ,95.39%,"$28,400.00 ",17.13992784,$24.48 ,"$16,470.49 ",$14.20 ,"$11,929.51 ",0.579946689
Antminer U3S21EXPH,24-Sep,860,11180,13.0,$42.57 ,$39.89 ,93.70%,"$20,878.00 ",17.3035144,$24.28 ,"$12,049.85 ",$14.01 ,"$8,828.15 ",0.577155181
Antminer S23 Hydro,25-May,580,5510,9.5,$28.71 ,$27.39 ,95.39%,"$17,500.00 ",21.1231505,$30.17 ,"$8,235.24 ",$14.20 ,"$9,264.76 ",0.470585313
Antminer S21 XP+ Hyd.,24-Jun,500,5500,11.0,$24.75 ,$23.43 ,94.67%,"$15,500.00 ",21.86925712,$31.00 ,"$7,057.64 ",$14.12 ,"$8,442.36 ",0.455331613
SEALMINER A2 Pro Hyd,25-Mar,500,7450,14.9,$24.75 ,$22.96 ,92.78%,"$8,500.00 ",12.23725005,$17.00 ,"$6,959.82 ",$13.92 ,"$1,540.18 ",0.818801894
Antminer U3S19XPH,24-Sep,514,10599,20.6,$25.44 ,$22.90 ,90.00%,"$10,000.00 ",14.43622201,$19.46 ,"$7,029.62 ",$13.68 ,"$2,970.38 ",0.702962327
Antminer S21 XP Hydro,24-Jun,473,5676,12.0,$23.41 ,$22.05 ,94.18%,"$14,500.00 ",21.7374809,$30.66 ,"$6,651.50 ",$14.06 ,"$7,848.50 ",0.458724415
Whatsminer M63S++,24-May,478,7409,15.5,$23.66 ,$21.88 ,92.48%,"$8,300.00 ",12.53859944,$17.36 ,"$6,640.32 ",$13.89 ,"$1,659.68 ",0.800038187
Teraflux AH3880,25-Mar,450,6525,14.5,$22.28 ,$20.71 ,92.97%,"$13,995.00 ",22.34026887,$31.10 ,"$6,272.30 ",$13.94 ,"$7,722.70 ",0.44818183
Antminer S23 Immersion,25-May,442,5304,12.0,$21.88 ,$20.61 ,94.18%,"$10,400.00 ",16.68450866,$23.53 ,"$6,215.57 ",$14.06 ,"$4,184.43 ",0.597650996
Sealminer A2Hyd,24-Nov,446,7359,16.5,$22.08 ,$20.31 ,92.00%,"$9,000.00 ",14.64836812,$20.18 ,"$6,175.69 ",$13.85 ,"$2,824.31 ",0.686187678
Whatsminer M65S++,24-Dec,440,7480,17.0,$21.78 ,$19.98 ,91.76%,"$6,082.94 ",10.06209259,$13.82 ,"$6,082.94 ",$13.82 , $-   ,1.0
Antminer S21e XP Hyd,24-Jun,430,5590,13.0,$21.29 ,$19.94 ,93.70%,"$13,200.00 ",21.88010251,$30.70 ,"$6,024.92 ",$14.01 ,"$7,175.08 ",0.456433556
Whatsminer M63S,23-Sep,408,7344,18.0,$20.20 ,$18.43 ,91.27%,"$6,350.00 ",11.38785573,$15.56 ,"$5,623.04 ",$13.78 ,$726.96 ,0.885517336
Whatsminer M63S+,23-Sep,402,6834,17.0,$19.90 ,$18.26 ,91.76%,"$6,080.00 ",11.00791373,$15.12 ,"$5,557.59 ",$13.82 ,$522.41 ,0.914078075
Whatsminer M63S Hydro,23-Oct,390,7215,18.5,$19.31 ,$17.57 ,91.03%,"$13,800.00 ",25.95959502,$35.38 ,"$5,366.79 ",$13.76 ,"$8,433.21 ",0.388897484
Whatsminer M63,23-Sep,372,7403,19.9,$18.41 ,$16.64 ,90.35%,"$5,000.00 ",9.934872539,$13.44 ,"$5,097.87 ",$13.70 ,($97.87),1.019574307
Whatsminer M63 Hydro,23-Oct,366,7283,20.0,$18.12 ,$16.37 ,90.35%,"$7,500.00 ",15.14647642,$20.49 ,"$5,014.19 ",$13.70 ,"$2,485.81 ",0.668558626
Whatsminer M63S Hydro,23-Oct,360,6660,18.5,$17.82 ,$16.22 ,91.03%,"$12,750.00 ",25.98310914,$35.42 ,"$4,953.96 ",$13.76 ,"$7,796.04 ",0.388545541
Whatsminer M66S++,24-May,348,5394,15.5,$17.23 ,$15.93 ,92.48%,"$6,250.00 ",12.96879442,$17.96 ,"$4,834.37 ",$13.89 ,"$1,415.63 ",0.773499681
Whatsminer M66S+,24-Jul,342,5814,17.0,$16.93 ,$15.53 ,91.76%,"$5,200.00 ",11.06635833,$15.20 ,"$4,728.10 ",$13.82 ,$471.90 ,0.909250567
Antminer S21 Hydro,24-Jun,335,5360,16.0,$16.58 ,$15.30 ,92.24%,"$5,662.00 ",12.23668476,$16.90 ,"$4,646.17 ",$13.87 ,"$1,015.83 ",0.820588509
Whatsminer M63 Hydro,23-Oct,340,6766,19.9,$16.83 ,$15.21 ,90.35%,"$6,900.00 ",15.00044545,$20.29 ,"$4,659.34 ",$13.70 ,"$2,240.66 ",0.675267384
Antminer S23,25-May,318,3498,11.0,$15.74 ,$14.90 ,94.67%,"$8,272.00 ",18.35083129,$26.01 ,"$4,488.66 ",$14.12 ,"$3,783.34 ",0.542632863
Antminer S21+ Hydro,25-Jan,319,4785,15.0,$15.79 ,$14.64 ,92.73%,"$5,295.00 ",11.95465967,$16.60 ,"$4,438.87 ",$13.91 ,$856.13 ,0.838314338
Whatsminer M53S++,23-Apr,320,7040,22.0,$15.84 ,$14.15 ,89.33%,"$4,359.25 ",10.18397475,$13.62 ,"$4,359.25 ",$13.62 , $-   ,1.0
Antminer S21 XP Immersion,24-Jun,300,4050,13.5,$14.85 ,$13.88 ,93.45%,"$7,500.00 ",17.86524602,$25.00 ,"$4,196.00 ",$13.99 ,"$3,304.00 ",0.55946723
Whatsminer M66S Immersion,23-Oct,298,5513,18.5,$14.75 ,$13.43 ,91.03%,"$4,100.77 ",10.09562119,$13.76 ,"$4,100.77 ",$13.76 , $-   ,1.0
Antminer S21e Hydro,25-Mar,288,4896,17.0,$14.26 ,$13.08 ,91.76%,"$3,500.00 ",8.845106119,$12.15 ,"$3,981.56 ",$13.82 ,($481.56),1.137588679
Whatsminer M66S,23-Sep,290,5365,18.5,$14.36 ,$13.07 ,91.03%,"$4,075.00 ",10.30891714,$14.05 ,"$3,990.69 ",$13.76 ,$84.31 ,0.979309568
